Method,Time(%),TotalTime(ns),Count,Average(ns),Minimum(ns),Maximum(ns),Operation
2 5000 run 2,98.5,"2,222,874",15,"148,191.6","147,266","153,858",Kernel Time
2 5000 run 3,98.5,"2,234,814",15,"148,987.6","147,170","153,314",Kernel Time
2 5000 run 4,98.4,"2,232,926",15,"148,861.7","147,426","153,794",Kernel Time
2 5000 run 5,98.4,"2,221,100",15,"148,073.3","147,200","153,025",Kernel Time
2 50000 run 1,99.8,"20,483,004",15,"1,365,533.6","1,359,114","1,371,627",Kernel Time
2 50000 run 2,99.8,"20,490,444",15,"1,366,029.6","1,358,539","1,374,539",Kernel Time
2 50000 run 3,99.8,"20,478,513",15,"1,365,234.2","1,358,124","1,372,460",Kernel Time
2 50000 run 4,99.8,"20,478,258",15,"1,365,217.2","1,358,252","1,372,780",Kernel Time
2 50000 run 5,99.8,"20,467,976",15,"1,364,531.7","1,356,738","1,371,939",Kernel Time
2 500000 run 1,99.8,"219,945,207",15,"14,663,013.8","13,331,637","16,782,347",Kernel Time
2 500000 run 2,99.8,"223,773,913",15,"14,918,260.9","13,330,779","17,050,933",Kernel Time
2 500000 run 3,99.8,"227,602,279",15,"15,173,485.3","13,328,062","16,938,488",Kernel Time
2 500000 run 4,99.8,"220,242,147",15,"14,682,809.8","13,328,895","16,780,024",Kernel Time
2 500000 run 5,99.8,"207,124,910",15,"13,808,327.3","13,323,147","17,842,671",Kernel Time
256 100 run 1,96.6,"595,784",15,"39,718.9","39,424","41,728",Kernel Time
256 100 run 2,96.5,"596,745",15,"39,783.0","39,488","42,080",Kernel Time
256 100 run 3,96.5,"596,137",15,"39,742.5","39,105","42,209",Kernel Time
256 100 run 4,96.6,"596,457",15,"39,763.8","39,456","41,921",Kernel Time
256 100 run 5,96.3,"597,925",15,"39,861.7","39,488","43,489",Kernel Time
256 1000 run 1,95.8,"803,277",15,"53,551.8","52,705","56,257",Kernel Time
256 1000 run 2,95.9,"801,516",15,"53,434.4","52,897","55,648",Kernel Time
256 1000 run 3,95.9,"803,564",15,"53,570.9","53,249","55,425",Kernel Time
256 1000 run 4,95.9,"803,022",15,"53,534.8","53,153","55,521",Kernel Time
256 1000 run 5,95.7,"805,605",15,"53,707.0","53,024","57,056",Kernel Time
256 10000 run 1,95.7,"807,432",15,"53,828.8","53,409","55,456",Kernel Time
256 10000 run 2,95.8,"812,394",15,"54,159.6","53,185","55,616",Kernel Time
256 10000 run 3,95.7,"816,842",15,"54,456.1","52,960","56,001",Kernel Time
256 10000 run 4,95.7,"813,771",15,"54,251.4","53,185","55,841",Kernel Time
256 10000 run 5,96.0,"808,835",15,"53,922.3","53,120","55,488",Kernel Time
256 100000 run 1,97.4,"2,701,366",15,"180,091.1","179,074","181,185",Kernel Time
256 100000 run 2,97.4,"2,695,383",15,"179,692.2","178,945","181,410",Kernel Time
256 100000 run 3,97.4,"2,693,238",15,"179,549.2","178,914","180,961",Kernel Time
256 100000 run 4,97.4,"2,695,034",15,"179,668.9","178,498","181,154",Kernel Time
256 100000 run 5,97.5,"2,713,541",15,"180,902.7","180,320","181,888",Kernel Time
256 1000000 run 1,97.6,"25,628,550",15,"1,708,570.0","1,703,243","1,721,547",Kernel Time
256 1000000 run 2,97.6,"25,625,422",15,"1,708,361.5","1,703,499","1,720,332",Kernel Time
256 1000000 run 3,97.5,"25,614,548",15,"1,707,636.5","1,701,804","1,719,659",Kernel Time
256 1000000 run 4,97.5,"25,619,030",15,"1,707,935.3","1,702,253","1,721,100",Kernel Time
256 1000000 run 5,97.6,"25,619,671",15,"1,707,978.1","1,702,340","1,720,772",Kernel Time
256 500 run 1,95.8,"802,764",15,"53,517.6","52,705","55,296",Kernel Time
256 500 run 2,95.8,"803,115",15,"53,541.0","53,089","55,137",Kernel Time
256 500 run 3,95.8,"802,316",15,"53,487.7","52,800","55,553",Kernel Time
256 500 run 4,95.8,"801,261",15,"53,417.4","52,801","54,849",Kernel Time
